1AAJn.0.1 N- ----NSF- Ἀποκάλυψις Ἀποκάλυψις ἀποκάλυψις ἀποκάλυψις grc RWB
1AAJn.0.1 RA ----GSM- τοῦ τοῦ τοῦ ὁ grc RWB
1AAJn.0.1 A- ----GSN- ἁγίου ἁγίου ἁγίου ἅγιος grc RWB
1AAJn.0.1 N- ----GSM- Ἰωάννου Ἰωάννου ἰωάννου Ἰωάννης grc RWB
1AAJn.0.1 RA ----GSM- τοῦ τοῦ τοῦ ὁ grc RWB
1AAJn.0.1 N- ----GSM- θεολόγου θεολόγου θεολόγου θεόλογος grc RWB
1AAJn.1.1 P- -------- Μετὰ Μετὰ μετά μετά grc RWB
1AAJn.1.1 RA ----ASF- τὴν τὴν τήν ὁ grc RWB
1AAJn.1.1 N- ----ASF- ἀνάληψιν ἀνάληψιν ἀνάληψιν ἀνάληψις grc RWB
1AAJn.1.1 RA ----GSM- τοῦ τοῦ τοῦ ὁ grc RWB
1AAJn.1.1 N- ----GSM- κυρίου κυρίου κυρίου κύριος grc RWB
1AAJn.1.1 RP 1---GP-- ἡμῶν ἡμῶν ἡμῶν ἐγώ grc RWB
1AAJn.1.1 N- ----GSM- Ἰησοῦ Ἰησοῦ ἰησοῦ Ἰησοῦς grc RWB
1AAJn.1.1 N- ----GSM- Χριστοῦ Χριστοῦ χριστοῦ Χριστός grc RWB
1AAJn.1.1 V- 1AMI-S-- παρεγενόμην παρεγενόμην παρεγενόμην παραγίνομαι grc RWB
1AAJn.1.1 RP 1---NS-- ἐγὼ ἐγὼ ἐγώ ἐγώ grc RWB
1AAJn.1.1 N- ----NSM- Ἰωάννης Ἰωάννης ἰωάννης Ἰωάννης grc RWB
1AAJn.1.1 A- ----NSM- μόνος μόνος μόνος μόνος grc RWB
1AAJn.1.1 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί grc RWB
1AAJn.1.1 RA ----ASN- τὸ τὸ τό ὁ grc RWB
1AAJn.1.1 N- ----ASN- ὄρος ὄρος ὄρος ὄρος grc RWB
1AAJn.1.1 RA ----ASN- τὸ τὸ τό ὁ grc RWB
1AAJn.1.1 NP -------- Θαβώρ, Θαβώρ θαβώρ Θαβωρ grc RWB
1AAJn.1.1 D- -------- ἔνθα ἔνθα ἔνθα ἔνθα grc RWB
1AAJn.1.1 C- -------- καὶ καὶ καί καί grc RWB
1AAJn.1.1 RA ----ASF- τὴν τὴν τήν ὁ grc RWB
1AAJn.1.1 A- ----NSN- ἄχραντον ἄχραντον ἄχραντον ἄχραντος grc RWB
1AAJn.1.1 RP 3---GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός grc RWB
1AAJn.1.1 N- ----GSF- θεότητα θεότητα θεότητα θεότης grc RWB
1AAJn.1.1 V- 3AAI-S-- ὑπέδειξεν ὑπέδειξεν ὑπέδειξεν ὑποδείκνυμι grc RWB
1AAJn.1.1 RP 1---DP-- ἡμῖν, ἡμῖν ἡμῖν ἐγώ grc RWB
1AAJn.1.2 C- -------- καὶ καὶ καί καί grc RWB
1AAJn.1.2 D- -------- μὴ μὴ μή μή grc RWB
1AAJn.1.2 V- -APPGSM- δυνηθέντος δυνηθέντος δυνηθέντος δύναμαι grc RWB
1AAJn.1.2 RP 1---GS-- μου μου μου ἐγώ grc RWB
1AAJn.1.2 V- -AAN---- στῆναι στῆναι στῆναι ἵστημι grc RWB
1AAJn.1.2 V- 1AAI-S-- ἔπεσα ἔπεσα ἔπεσα πίπτω grc RWB
1AAJn.1.2 P- -------- ἐπὶ ἐπὶ ἐπί ἐπί grc RWB
1AAJn.1.2 RA ----ASF- τὴν τὴν τήν ὁ grc RWB
1AAJn.1.2 N- ----ASF- γῆν γῆν γῆν γῆ grc RWB
1AAJn.1.2 C- -------- καὶ καὶ καί καί grc RWB
1AAJn.1.2 V- 1AMI-S-- ηὐξάμην ηὐξάμην ηὐξάμην εὔχομαι grc RWB
1AAJn.1.2 P- -------- πρὸς πρὸς πρός πρός grc RWB
1AAJn.1.2 N- ----ASM- κύριον κύριον κύριον κύριος grc RWB
1AAJn.1.2 C- -------- καὶ καὶ καί καί grc RWB
1AAJn.1.2 V- 1AAI-S-- εἶπον· εἶπον εἶπον εἶπον grc RWB
1AAJn.1.3 N- ----VSM- κύριε κύριε κύριε κύριος grc RWB
1AAJn.1.3 RA ----NSM- ὁ ὁ ὁ ὁ grc RWB
1AAJn.1.3 N- ----NSM- θεός θεός θεός θεός grc RWB
1AAJn.1.3 RP 1---GS-- μου, μου μου ἐγώ grc RWB
1AAJn.1.3 RA ----NSM- ὁ ὁ ὁ ὁ grc RWB
1AAJn.1.3 V- -AAPNSM- καταξιώσας καταξιώσας καταξιώσας καταξιόω grc RWB
1AAJn.1.3 RP 1---AS-- με με με ἐγώ grc RWB
1AAJn.1.3 N- ----ASM- δοῦλόν δοῦλόν δοῦλον δοῦλος grc RWB
